127.0.0.1, 2016-06-02 09:43:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-02 09:43:25, GET, /admin/wizard/step3/0/, HTTP/1.1, 200, 0.174000
127.0.0.1, 2016-06-02 09:43:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:43:28, GET, /admin/wizard/step2/, HTTP/1.1, 200, 0.151000
127.0.0.1, 2016-06-02 09:43:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:43:49, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:43:57, POST, /admin/wizard/step2/, HTTP/1.1, 303, 0.084000
127.0.0.1, 2016-06-02 09:43:58, GET, /admin/wizard/step3/0/, HTTP/1.1, 200, 0.132000
127.0.0.1, 2016-06-02 09:43:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-02 09:44:06, POST, /admin/wizard/step3/0/, HTTP/1.1, 303, 0.104000
127.0.0.1, 2016-06-02 09:44:06, GET, /admin/wizard/step3/1/, HTTP/1.1, 200, 0.130000
127.0.0.1, 2016-06-02 09:44:07, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:44:36, POST, /admin/wizard/step3/1/, HTTP/1.1, 303, 0.082000
127.0.0.1, 2016-06-02 09:44:36, GET, /admin/wizard/step4/, HTTP/1.1, 200, 0.207000
127.0.0.1, 2016-06-02 09:44:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-02 09:45:16, POST, /admin/wizard/step4/, HTTP/1.1, 303, 0.087000
127.0.0.1, 2016-06-02 09:45:16, GET, /admin/wizard/step5/0/, HTTP/1.1, 200, 0.169000
127.0.0.1, 2016-06-02 09:45:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-02 09:45:40, POST, /admin/wizard/step5/0/, HTTP/1.1, 303, 0.136000
127.0.0.1, 2016-06-02 09:45:40, GET, /admin/wizard/step5/1/, HTTP/1.1, 200, 0.153000
127.0.0.1, 2016-06-02 09:45:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-02 09:45:44, POST, /admin/wizard/step5/1/, HTTP/1.1, 303, 0.157000
127.0.0.1, 2016-06-02 09:45:44, GET, /admin/wizard/step5/2/, HTTP/1.1, 200, 0.158000
127.0.0.1, 2016-06-02 09:45:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-02 09:45:50, POST, /admin/wizard/step5/2/, HTTP/1.1, 303, 0.675000
127.0.0.1, 2016-06-02 09:45:50, GET, /admin/wizard/step6/, HTTP/1.1, 200, 0.358000
127.0.0.1, 2016-06-02 09:45:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-02 09:45:59, POST, /admin/wizard/step6/, HTTP/1.1, 303, 4.273000
127.0.0.1, 2016-06-02 09:46:02, GET, /admin/wizard/generated, HTTP/1.1, 200, 2.968000
127.0.0.1, 2016-06-02 09:46:22, GET, /inscripcion_sinadep32_docente/default/index, HTTP/1.1, 200, 19.005000
127.0.0.1, 2016-06-02 09:46:22, GET, /inscripcion_sinadep32_docente/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-02 09:46:22, GET, /inscripcion_sinadep32_docente/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-02 09:46:22, GET, /inscripcion_sinadep32_docente/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-06-02 09:46:22, GET, /inscripcion_sinadep32_docente/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.038000
127.0.0.1, 2016-06-02 09:46:22, GET, /inscripcion_sinadep32_docente/static/js/jquery.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2016-06-02 09:46:22, GET, /inscripcion_sinadep32_docente/static/js/calendar.js, HTTP/1.1, 200, 0.033000
127.0.0.1, 2016-06-02 09:46:22, GET, /inscripcion_sinadep32_docente/static/js/web2py.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2016-06-02 09:46:22, GET, /inscripcion_sinadep32_docente/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.025000
127.0.0.1, 2016-06-02 09:46:22, GET, /inscripcion_sinadep32_docente/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2016-06-02 09:46:22, GET, /inscripcion_sinadep32_docente/static/js/share.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2016-06-02 09:46:23, GET, /inscripcion_sinadep32_docente/static/images/facebook.png, HTTP/1.1, 200, 0.009000
127.0.0.1, 2016-06-02 09:46:23, GET, /inscripcion_sinadep32_docente/static/images/twitter.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2016-06-02 09:46:23, GET, /inscripcion_sinadep32_docente/static/images/gplus-32.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2016-06-02 09:46:24, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2016-06-02 09:46:53, GET, /inscripcion_sinadep32_docente/default/index, HTTP/1.1, 200, 3.739000
127.0.0.1, 2016-06-02 09:47:00, GET, /admin/default/design/inscripcion_sinadep32_docente, HTTP/1.1, 200, 1.656000
127.0.0.1, 2016-06-02 09:47:03, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:47:23, GET, /admin/wizard/generated, HTTP/1.1, 200, 0.113000
127.0.0.1, 2016-06-02 09:47:24, GET, /inscripcion_sinadep32_docente/default/index, HTTP/1.1, 200, 0.291000
127.0.0.1, 2016-06-02 09:47:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:47:33, GET, /inscripcion_sinadep32_docente/appadmin/index, HTTP/1.1, 200, 0.420000
127.0.0.1, 2016-06-02 09:47:35, GET, /inscripcion_sinadep32_docente/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-06-02 09:47:35, GET, /inscripcion_sinadep32_docente/appadmin/hooks, HTTP/1.1, 200, 0.950000
127.0.0.1, 2016-06-02 09:47:50, GET, /inscripcion_sinadep32_docente/appadmin/insert/db/t_docente, HTTP/1.1, 200, 1.097000
127.0.0.1, 2016-06-02 09:48:27, GET, /admin/default/design/inscripcion_sinadep32_docente, HTTP/1.1, 200, 0.909000
127.0.0.1, 2016-06-02 09:48:29, GET, /favicon.ico, HTTP/1.1, 400, 0.003000
127.0.0.1, 2016-06-02 09:48:36, GET, /inscripcion_sinadep32_docente/appadmin/insert/db/t_docente, HTTP/1.1, 200, 0.335000
127.0.0.1, 2016-06-02 09:48:38, GET, /inscripcion_sinadep32_docente/appadmin/index, HTTP/1.1, 200, 0.330000
127.0.0.1, 2016-06-02 09:48:39, GET, /inscripcion_sinadep32_docente/appadmin/hooks, HTTP/1.1, 200, 0.590000
127.0.0.1, 2016-06-02 09:48:42, GET, /inscripcion_sinadep32_docente/appadmin/insert/db/t_docente_archive, HTTP/1.1, 200, 0.427000
127.0.0.1, 2016-06-02 09:48:47, GET, /inscripcion_sinadep32_docente/appadmin/index, HTTP/1.1, 200, 0.383000
127.0.0.1, 2016-06-02 09:48:49, GET, /inscripcion_sinadep32_docente/appadmin/hooks, HTTP/1.1, 200, 0.744000
127.0.0.1, 2016-06-02 09:49:02, GET, /inscripcion_sinadep32_docente/appadmin/select/db, HTTP/1.1, 200, 0.294000
127.0.0.1, 2016-06-02 09:49:12, GET, /inscripcion_sinadep32_docente/appadmin/index, HTTP/1.1, 200, 0.333000
127.0.0.1, 2016-06-02 09:49:14, GET, /inscripcion_sinadep32_docente/appadmin/hooks, HTTP/1.1, 200, 0.578000
127.0.0.1, 2016-06-02 09:49:15, GET, /inscripcion_sinadep32_docente/appadmin/select/db, HTTP/1.1, 200, 0.391000
